HJD	Mag	Band
2459762.34201 	-0.022 	I
2459762.34594 	-0.016 	I
2459762.34985 	-0.006 	I
2459762.35377 	0.017 	I
2459762.35769 	0.022 	I
2459762.36161 	0.034 	I
2459762.36552 	0.056 	I
2459762.36944 	0.071 	I
2459762.37336 	0.092 	I
2459762.37728 	0.104 	I
2459762.38119 	0.135 	I
2459762.38512 	0.170 	I
2459762.38903 	0.198 	I
2459762.39295 	0.245 	I
2459762.39688 	0.280 	I
2459762.40079 	0.324 	I
2459762.40470 	0.361 	I
2459762.40862 	0.374 	I
2459762.41255 	0.380 	I
2459762.41646 	0.380 	I
2459762.42038 	0.382 	I
2459762.42429 	0.384 	I
2459762.42822 	0.364 	I
2459762.43213 	0.364 	I
2459762.43605 	0.359 	I
2459762.43998 	0.317 	I
2459762.44389 	0.269 	I
2459762.44781 	0.261 	I
2459762.45172 	0.215 	I
2459762.45565 	0.168 	I
2459762.45956 	0.134 	I
2459762.46348 	0.120 	I
2459762.46740 	0.081 	I
2459762.47132 	0.076 	I
2459762.47943 	0.028 	I
2459762.48336 	0.003 	I
2459763.17025 	0.353 	I
2459763.17488 	0.352 	I
2459763.17879 	0.307 	I
2459763.18271 	0.251 	I
2459763.18663 	0.210 	I
2459763.19055 	0.188 	I
2459763.19446 	0.147 	I
2459763.19838 	0.124 	I
2459763.20230 	0.083 	I
2459763.20622 	0.072 	I
2459763.21013 	0.037 	I
2459763.21406 	0.026 	I
2459763.21797 	0.014 	I
2459763.22188 	-0.011 	I
2459763.22580 	-0.017 	I
2459763.22972 	-0.031 	I
2459763.23364 	-0.041 	I
2459763.23755 	-0.049 	I
2459763.24328 	-0.049 	I
2459763.24719 	-0.050 	I
2459763.25112 	-0.065 	I
2459763.25503 	-0.053 	I
2459763.25895 	-0.064 	I
2459763.26286 	-0.065 	I
2459763.26678 	-0.053 	I
2459763.27070 	-0.045 	I
2459763.27461 	-0.023 	I
2459763.27853 	-0.006 	I
2459763.28245 	0.017 	I
2459763.28636 	0.006 	I
2459763.29028 	0.038 	I
2459763.29419 	0.050 	I
2459763.29812 	0.072 	I
2459763.30203 	0.084 	I
2459763.30594 	0.117 	I
2459763.30987 	0.149 	I
2459763.31378 	0.184 	I
2459763.31770 	0.232 	I
2459763.32161 	0.281 	I
2459763.32553 	0.337 	I
2459763.32945 	0.361 	I
2459763.33336 	0.375 	I
2459763.34135 	0.376 	I
2459763.34526 	0.360 	I
2459763.34917 	0.350 	I
2459763.35309 	0.356 	I
2459763.35701 	0.359 	I
2459763.36093 	0.362 	I
2459763.36484 	0.325 	I
2459763.36875 	0.291 	I
2459763.37268 	0.239 	I
2459763.37659 	0.195 	I
2459763.38051 	0.163 	I
2459763.38443 	0.125 	I
2459763.38835 	0.107 	I
2459763.39226 	0.080 	I
2459763.39617 	0.064 	I
2459763.40010 	0.030 	I
2459763.40401 	0.023 	I
2459763.40793 	0.014 	I
2459763.41184 	0.003 	I
2459763.41577 	-0.015 	I
2459763.41968 	-0.017 	I
2459763.42359 	-0.027 	I
2459763.42751 	-0.036 	I
2459763.43143 	-0.035 	I
2459763.43534 	-0.047 	I
2459763.43926 	-0.047 	I
2459763.44317 	-0.039 	I
2459763.44710 	-0.043 	I
2459763.45101 	-0.037 	I
2459763.45492 	-0.021 	I
2459763.45885 	-0.005 	I
2459763.46276 	-0.005 	I
2459763.46668 	0.021 	I
2459763.47059 	0.033 	I
2459763.47451 	0.057 	I
2459763.47843 	0.070 	I
